[1.5197475421366633, 14.701458622560692, 2.888921203903544, 1.983858947938619, 71.03721355748316, 1.1615799891532, 6.521777765728675, 1.6429747830802957, 0.0, 0.0]
[1.5194887125851806, 13.779144775693736, 0.0, 1.950929290885151, 72.86221365346456, 0.19807040389084546, 11.065427612153133, 0.0, 0.0, 0.0]
[1.5204254459292366, 14.93403677693572, 1.3912905903944408, 1.877755626004381, 71.53571061796933, 0.3271696117604049, 9.868207597059898, 0.0, 0.0, 0.0]
[1.51915, 12.73, 1.85, 1.86, 72.69, 0.6, 10.09, 0.0, 0.0, 0.0]
[1.5218890672239884, 13.612224964528423, 3.04783264946071, 1.3314897112399637, 72.37692455420485, 0.415473252290975, 9.057582988841132, 0.0, 0.0, 0.0]
[1.52369, 13.44, 0.0, 1.58, 72.22, 0.32, 12.24, 0.0, 0.0, 0.0]
[1.5184429015925553, 13.539389746778811, 3.284341741803865, 1.4605842125268442, 72.55095036445955, 1.0611684250536886, 7.4782994438081545, 0.473095194667146, 0.0, 0.0]
[1.51115, 17.38, 0.0, 0.34, 75.41, 0.0, 6.65, 0.0, 0.0, 0.0]
[1.5191697156598953, 13.173714457486907, 0.0, 1.776438995063211, 73.2296163686247, 0.5874213933086494, 11.049930795390107, 0.0, 0.0, 0.0]
[1.51754, 13.48, 3.74, 1.17, 72.99, 0.59, 8.03, 0.0, 0.0, 1.0]
[1.51818, 13.72, 0.0, 0.56, 74.45, 0.0, 10.99, 0.0, 0.0, 1.0]
[1.5241, 13.83, 2.9, 1.17, 71.15, 0.08, 10.79, 0.0, 0.0, 1.0]
[1.51847, 13.1, 3.97, 1.19, 72.44, 0.6, 8.43, 0.0, 0.0, 1.0]
[1.51618, 13.53, 3.55, 1.54, 72.99, 0.39, 7.78, 0.0, 0.0, 1.0]
[1.51707, 13.48, 3.48, 1.71, 72.52, 0.62, 7.99, 0.0, 0.0, 1.0]
[1.51588, 13.12, 3.41, 1.58, 73.26, 0.07, 8.39, 0.0, 0.19, 1.0]
[1.51589, 12.88, 3.43, 1.4, 73.28, 0.69, 8.05, 0.0, 0.24, 1.0]
[1.5159, 13.02, 3.58, 1.51, 73.12, 0.69, 7.96, 0.0, 0.0, 1.0]
[1.52664, 11.23, 0.0, 0.77, 73.21, 0.0, 14.68, 0.0, 0.0, 1.0]
[1.52475, 11.45, 0.0, 1.88, 72.19, 0.81, 13.24, 0.0, 0.34, 1.0]
[1.52222, 14.43, 0.0, 1.0, 72.67, 0.1, 11.52, 0.0, 0.08, 1.0]
[1.5202, 13.98, 1.35, 1.63, 71.76, 0.39, 10.56, 0.0, 0.18, 1.0]
[1.51966, 14.77, 3.75, 0.29, 72.02, 0.03, 9.0, 0.0, 0.0, 1.0]
[1.51761, 13.89, 3.6, 1.36, 72.73, 0.48, 7.83, 0.0, 0.0, 1.0]
[1.51934, 13.64, 3.54, 0.75, 72.65, 0.16, 8.89, 0.15, 0.24, 1.0]
[1.51652, 13.56, 3.57, 1.47, 72.45, 0.64, 7.96, 0.0, 0.0, 1.0]
[1.52177, 13.75, 1.01, 1.36, 72.19, 0.33, 11.14, 0.0, 0.0, 1.0]
[1.51926, 13.2, 3.33, 1.28, 72.36, 0.6, 9.14, 0.0, 0.11, 1.0]
[1.51779, 13.64, 3.65, 0.65, 73.0, 0.06, 8.93, 0.0, 0.0, 1.0]
[1.51215, 12.99, 3.47, 1.12, 72.98, 0.62, 8.35, 0.0, 0.31, 1.0]
