1,2,3,4,5,6,7,8,9
0.69,0.57,0.39,0.19,0.5,0,0.48,0.39,0
0.693108871,0.568445565,0.391554435,0.187668347,0.5,0,0.478445565,0.376787299,0
0.693068353,0.568977216,0.391022784,0.197159491,0.5,0,0.483068353,0.376703802,0
0.714461711,0.561846096,0.398153904,0.247077326,0.5,0,0.504461711,0.283999253,0
0.67358059,0.606943673,0.381790295,0.161266032,0.5,0,0.49641941,0.340741769,0
0.700579814,0.566473395,0.393526605,0.214686232,0.5,0,0.490579814,0.34415414,0
0.696612886,0.550161343,0.423064428,0.203225771,0.5,0,0.42048403,0.3668549,0
0.697552317,0.566223841,0.393776159,0.184335762,0.5,0,0.476223841,0.357902652,0
0.690364339,0.569878554,0.390121446,0.190850124,0.5,0,0.480364339,0.388421197,0
0.74,0.67,0.47,0.34,0.5,0,0.42,0.22,0
0.69,0.7,0.52,0.36,0.5,0,0.46,0.22,0
0.66,0.65,0.54,0.4,0.5,0,0.51,0.22,0
0.69,0.7,0.5,0.3,0.5,0,0.54,0.22,0
0.70269322,0.705077288,0.5,0.294922712,0.5,0,0.529845424,0.23269322,0
0.69,0.7,0.518843809,0.356531428,0.5,0,0.464624762,0.22,0
0.777225188,0.682408396,0.507225188,0.333795802,0.5,0,0.475837782,0.22,0
0.694330758,0.703464606,0.500866152,0.297401545,0.5,0,0.536535394,0.22,0
0.718868125,0.71154725,0.50845275,0.313811001,0.5,0,0.477320875,0.248868125,0
0.698548455,0.703419382,0.5,0.296580618,0.5,0,0.533161236,0.228548455,0
0.725105277,0.714042111,0.505957889,0.303831556,0.5,0,0.481063166,0.255105277,0
0.742631832,0.675263663,0.473509109,0.33385906,0.5,0,0.412981782,0.22,0
0.710017208,0.720017208,0.491975908,0.392027533,0.5,0,0.48402065,0.22,0
0.695757064,0.704605652,0.501151413,0.296545761,0.5,0,0.535394348,0.22,0
0.694949404,0.701979762,0.5,0.298020238,0.5,0,0.535050596,0.224949404,0
0.44,0.38,0.48,0.32,0.5,0.83,0.53,0.22,0
0.44,0.53,0.52,0.23,0.5,0.83,0.51,0.22,0
0.42,0.5,0.53,0.22,0.5,0.83,0.5,0.22,0
0.49,0.27,0.57,0.18,0.5,0.83,0.54,0.22,0
0.4,0.4,0.43,0.19,0.5,0.83,0.48,0.22,0
0.57,0.52,0.46,0.2,0.5,0.83,0.52,0.41,0
0.431427665,0.465717004,0.518572335,0.311421322,0.5,0.704295683,0.5,0.239046109,0
0.536220809,0.483622409,0.465196799,0.231180792,0.5,0.83,0.522598399,0.360630413,0
0.42805381,0.512080715,0.525973095,0.224026905,0.5,0.83,0.504026905,0.22,0
0.44,0.503230924,0.51286158,0.246061445,0.5,0.83,0.51356921,0.22,0
0.426073407,0.463559556,0.514816482,0.250367036,0.5,0.83,0.509110111,0.22,0
0.437934595,0.526901892,0.521032703,0.228967297,0.5,0.83,0.508967297,0.22,0
0.44,0.386649044,0.481773079,0.316010573,0.5,0.83,0.529113461,0.22,0
0.523073579,0.55003291,0.469385284,0.192491773,0.5,0.83,0.525631171,0.37433592,0
0.571200227,0.520654669,0.460545558,0.199890888,0.5,0.83,0.520218223,0.407926881,0
0.442049297,0.339262126,0.495410018,0.185327856,0.5,0.83,0.508032865,0.22,0
0.450132544,0.388443787,0.481266568,0.314511539,0.5,0.83,0.530422189,0.22,0
0.455702752,0.345453945,0.508264954,0.276032294,0.5,0.83,0.53314055,0.22,0
0.526566337,0.523341051,0.480046306,0.210023153,0.5,0.83,0.516658949,0.346520031,0
0.446632206,0.52948983,0.516938982,0.228469491,0.5,0.83,0.51051017,0.229693225,0
0.383082325,0.566451815,0.522616465,0.197849395,0.5,0.83,0.518458838,0.22,0
0.409951327,0.432341814,0.452390487,0.199951327,0.5,0.83,0.487463496,0.22,0
0.357530082,0.633087398,0.513127507,0.181892548,0.5,0.83,0.537489973,0.22,0
0.411339123,0.456695613,0.486695613,0.207008684,0.5,0.83,0.491339123,0.22,0
0.485270478,0.280404949,0.56148686,0.193242663,0.5,0.83,0.539054096,0.22,0
0.436420119,0.401479286,0.488949703,0.302100595,0.5,0.83,0.524630178,0.22,0
0.422195158,0.500292688,0.528975593,0.219707312,0.5,0.83,0.500292688,0.222780534,0
0.424041664,0.475750016,0.51989584,0.24020832,0.5,0.83,0.506062496,0.22,0
0.49,0.39,0.52,0.29,0.5,0,0.48,0.22,0
0.488274399,0.407256007,0.514823198,0.284823198,0.5,0,0.464469593,0.228628004,0
0.487786234,0.412137659,0.513358702,0.283358702,0.5,0,0.460076107,0.231068829,0
0.26,0.5,0.33,0.28,0.5,0,0.51,0.22,0
0.34,0.42,0.3,0.23,0.5,0,0.53,0.22,0
0.39,0.44,0.28,0.12,0.5,0,0.46,0.27,0
0.3,0.5,0.34,0.26,0.5,0,0.51,0.22,0
0.34,0.4,0.3,0.23,0.5,0,0.51,0.22,0
0.27,0.49,0.36,0.26,0.5,0,0.49,0.26,0
0.27,0.41,0.24,0.2,0.5,0,0.49,0.22,0
0.25,0.35,0.22,0.18,0.5,0,0.46,0.22,0
0.41,0.42,0.23,0.16,0.5,0,0.4,0.22,0
0.25,0.42,0.21,0.14,0.5,0,0.41,0.22,0
0.31,0.4,0.31,0.17,0.5,0,0.52,0.22,0
0.32,0.45,0.39,0.14,0.5,0,0.45,0.22,0
0.28,0.48,0.36,0.16,0.5,0,0.53,0.22,0
0.28,0.46,0.26,0.18,0.5,0,0.39,0.22,0
0.264449313,0.402980813,0.23926575,0.18,0.5,0,0.426284937,0.22,0
0.28,0.504660889,0.323008667,0.152601733,0.5,0,0.525067822,0.22,0
0.278523772,0.5,0.334630943,0.270738114,0.5,0,0.51,0.22,0
0.264596844,0.412701578,0.231895266,0.183790532,0.5,0,0.468387375,0.22,0
0.412238125,0.422238125,0.237833438,0.162238125,0.5,0,0.412309689,0.22,0
0.303695967,0.492608067,0.336304033,0.257228025,0.5,0,0.511847983,0.22,0
0.300732084,0.414390298,0.266341786,0.213170893,0.5,0,0.507561191,0.22,0
0.394064693,0.435935307,0.269838268,0.128129385,0.5,0,0.447805922,0.259838268,0
0.246598405,0.349319681,0.227483509,0.174557448,0.5,0,0.461360638,0.226122871,0
0.393898108,0.436101892,0.27025473,0.127796216,0.5,0,0.448305676,0.26025473,0
0.297967858,0.503983929,0.373983929,0.204064284,0.5,0,0.469024106,0.294959823,0
0.285836141,0.49791807,0.36791807,0.228327718,0.5,0,0.478122894,0.279795176,0
0.406075676,0.421207484,0.230905613,0.160603742,0.5,0,0.399698129,0.22,0
0.400419767,0.429580233,0.253950582,0.140839534,0.5,0,0.428740699,0.243950582,0
0.34,0.409627228,0.3,0.23,0.5,0,0.519627228,0.22,0
0.403302237,0.44,0.302170395,0.142170395,0.5,0,0.495472632,0.27,0
0.268678234,0.491321766,0.356034703,0.262643532,0.5,0,0.492643532,0.254712937,0
0.317667842,0.448445228,0.390777386,0.140777386,0.5,0,0.456219089,0.22,0
0.308074389,0.458944208,0.381055792,0.145962805,0.5,0,0.473851222,0.22,0
0.265912425,0.397737274,0.235912425,0.195912425,0.5,0,0.483868637,0.22,0
0.28,0.468247416,0.256563577,0.176563577,0.5,0,0.398247416,0.22,0
0.329975295,0.44004941,0.310024705,0.237518529,0.5,0,0.524987647,0.22,0
0.265754066,0.441005422,0.236256777,0.161005422,0.5,0,0.399497289,0.22,0
0.28,0.560843943,0.21798169,0.13798169,0.5,0,0.490843943,0.22,0
0.322661986,0.417523141,0.285138845,0.222569423,0.5,0,0.520092563,0.22,0
0.27035266,0.411763299,0.24070532,0.19929468,0.5,0,0.486473402,0.22,0
0.312528127,0.389887493,0.31758438,0.175056253,0.5,0,0.52758438,0.230112507,0
0.251209089,0.41959697,0.212015148,0.140604544,0.5,0,0.412216663,0.22,0
0.266977426,0.442636567,0.238295709,0.162636567,0.5,0,0.398681716,0.22,0
0.309733597,0.443155731,0.393422134,0.143422134,0.5,0,0.477377075,0.22,0
0.315741248,0.403465536,0.279206784,0.219603392,0.5,0,0.503068928,0.22,0
0.279237039,0.491026338,0.363079013,0.256920987,0.5,0,0.491026338,0.255894649,0
0.273835962,0.429179811,0.247671925,0.192328075,0.5,0,0.451640377,0.22,0
0.257279562,0.416360219,0.220919343,0.161838686,0.5,0,0.439118249,0.22,0
0.340843188,0.419156812,0.300505913,0.23,0.5,0,0.529831362,0.22067455,0
0.317821254,0.405214169,0.307392915,0.185642508,0.5,0,0.522607085,0.22,0
0.27016354,0.36680295,0.250245311,0.17663941,0.5,0,0.48016354,0.22,0
0.279359658,0.569114182,0.211921027,0.134482396,0.5,0,0.508719316,0.22,0
0.323855038,0.4,0.305381654,0.197710075,0.5,0,0.515381654,0.22,0
0.288731947,0.407089351,0.274553246,0.159365974,0.5,0,0.48100857,0.22,0
0.270825455,0.409793636,0.241444547,0.199380909,0.5,0,0.490619091,0.22,0
0.260585763,0.499414237,0.33175729,0.278828473,0.5,0,0.508828473,0.222343054,0
0.242063961,0.348412792,0.237459286,0.167302338,0.5,0,0.463174416,0.23428487,0
0.46,0.37,0.48,0.36,0.5,0,0.48,0.22,0
0.485392033,0.386928022,0.513856044,0.300751923,0.5,0,0.48,0.22,0
0.47020232,0.376801547,0.493603094,0.336194586,0.5,0,0.48,0.22,0
0.471395276,0.377596851,0.495193702,0.333411022,0.5,0,0.48,0.22,0
0.465898705,0.37393247,0.48786494,0.346236354,0.5,0,0.48,0.22,0
0.475904707,0.380603138,0.501206275,0.322889018,0.5,0,0.48,0.22,0
0.47,0.43,0.59,0.27,0.5,0,0.55,0.22,0
0.47398587,0.422028261,0.576049457,0.27398587,0.5,0,0.536049457,0.22,0
0.472694088,0.437184233,0.588203942,0.27,0.5,0,0.543713796,0.22,0
0.477851604,0.414296792,0.562519386,0.277851604,0.5,0,0.522519386,0.22,0
0.475759983,0.44343996,0.580400029,0.248880063,0.5,0,0.538480034,0.22,0
0.74,0.82,0.46,0.24,0.5,0,0.5,0.31,0
0.74,0.82,0.46,0.24,0.5,0,0.48,0.22,0
0.771706314,0.804146843,0.444146843,0.245284386,0.5,0,0.510568771,0.262440529,0
0.734881079,0.814881079,0.468958112,0.24,0.5,0,0.497440539,0.298482428,0
0.745403988,0.817298006,0.457298006,0.240900665,0.5,0,0.501801329,0.301894018,0
0.767639365,0.806180317,0.446180317,0.244606561,0.5,0,0.509213122,0.268540952,0
0.747281412,0.816359294,0.46273053,0.239089823,0.5,0,0.478179647,0.22,0
0.75421388,0.81289306,0.45289306,0.24236898,0.5,0,0.50473796,0.28867918,0
0.74,0.82,0.46,0.24,0.5,0,0.489103623,0.260966304,0
0.74,0.807139589,0.465144164,0.245144164,0.5,0,0.5,0.304855836,0
0.778829003,0.772357502,0.458227996,0.257056999,0.5,0,0.512943001,0.22,0
0.777412541,0.801293729,0.441293729,0.246235424,0.5,0,0.512470847,0.253881188,0
0.74,0.795668082,0.475207449,0.249124469,0.5,0,0.486082979,0.22,0
0.762333785,0.808833107,0.448833107,0.243722298,0.5,0,0.507444595,0.276499322,0
0.727437886,0.807437886,0.481983699,0.24,0.5,0,0.493718943,0.281735244,0
0.74,0.82,0.46,0.24,0.5,0,0.493089757,0.278903908,0
0.4,0.36,0.55,0.15,0.5,0,0.53,0.22,0
