0.74,0.49,0.48,0.5,0.42,0.54,0.36,1.0
0.7,0.61,0.48,0.5,0.56,0.52,0.43,1.0
0.66,0.86,0.48,0.5,0.34,0.41,0.36,1.0
0.73,0.78,0.48,0.5,0.58,0.51,0.31,1.0
0.65,0.57,0.48,0.5,0.47,0.47,0.51,1.0
0.72,0.86,0.48,0.5,0.17,0.55,0.21,1.0
0.67,0.7,0.48,0.5,0.46,0.45,0.33,1.0
0.67,0.81,0.48,0.5,0.54,0.49,0.23,1.0
0.67,0.61,0.48,0.5,0.51,0.37,0.38,1.0
0.63,1.0,0.48,0.5,0.35,0.51,0.49,1.0
0.57,0.59,0.48,0.5,0.39,0.47,0.33,1.0
0.71,0.71,0.48,0.5,0.4,0.54,0.39,1.0
0.66,0.74,0.48,0.5,0.31,0.38,0.43,1.0
0.67,0.81,0.48,0.5,0.25,0.42,0.25,1.0
0.64,0.72,0.48,0.5,0.49,0.42,0.19,1.0
0.68,0.82,0.48,0.5,0.38,0.65,0.56,1.0
0.32,0.39,0.48,0.5,0.53,0.28,0.38,1.0
0.7,0.64,0.48,0.5,0.47,0.51,0.47,1.0
0.63,0.57,0.48,0.5,0.49,0.7,0.2,1.0
0.74,0.82,0.48,0.5,0.49,0.49,0.41,1.0
0.63,0.86,0.48,0.5,0.39,0.47,0.34,1.0
0.63,0.83,0.48,0.5,0.4,0.39,0.19,1.0
0.63,0.71,0.48,0.5,0.6,0.4,0.39,1.0
0.71,0.86,0.48,0.5,0.4,0.54,0.32,1.0
0.68,0.78,0.48,0.5,0.43,0.44,0.42,1.0
0.64,0.84,0.48,0.5,0.37,0.45,0.4,1.0
0.74,0.47,0.48,0.5,0.5,0.57,0.42,1.0
0.75,0.84,0.48,0.5,0.35,0.52,0.33,1.0
0.63,0.65,0.48,0.5,0.39,0.44,0.35,1.0
0.69,0.67,0.48,0.5,0.3,0.39,0.24,1.0
0.7,0.71,0.48,0.5,0.42,0.84,0.85,1.0
0.69,0.8,0.48,0.5,0.46,0.57,0.26,1.0
0.64,0.66,0.48,0.5,0.41,0.39,0.2,1.0
0.63,0.8,0.48,0.5,0.46,0.31,0.29,1.0
0.66,0.71,0.48,0.5,0.41,0.5,0.35,1.0
0.69,0.59,0.48,0.5,0.46,0.44,0.52,1.0
0.68,0.67,0.48,0.5,0.49,0.4,0.34,1.0
0.64,0.78,0.48,0.5,0.5,0.36,0.38,1.0
0.62,0.78,0.48,0.5,0.47,0.49,0.54,1.0
0.76,0.73,0.48,0.5,0.44,0.39,0.39,1.0
0.64,0.81,0.48,0.5,0.37,0.39,0.44,1.0
0.29,0.39,0.48,0.5,0.52,0.4,0.48,1.0
0.62,0.83,0.48,0.5,0.46,0.36,0.4,1.0
0.56,0.54,0.48,0.5,0.43,0.37,0.3,1.0
0.69,0.66,0.48,0.5,0.41,0.5,0.25,1.0
0.69,0.65,0.48,0.5,0.63,0.48,0.41,1.0
0.43,0.59,0.48,0.5,0.52,0.49,0.56,1.0
0.74,0.56,0.48,0.5,0.47,0.68,0.3,1.0
0.71,0.57,0.48,0.5,0.48,0.35,0.32,1.0
0.61,0.6,0.48,0.5,0.44,0.39,0.38,1.0
0.59,0.61,0.48,0.5,0.42,0.42,0.37,1.0
0.74,0.74,0.48,0.5,0.31,0.53,0.52,1.0
0.77,0.57,1.0,0.5,0.37,0.54,0.01,1.0
0.66,0.49,1.0,0.5,0.54,0.56,0.36,1.0
0.71,0.46,1.0,0.5,0.52,0.59,0.3,1.0
0.67,0.55,1.0,0.5,0.66,0.58,0.16,1.0
0.68,0.49,1.0,0.5,0.62,0.55,0.28,1.0
0.78,0.68,0.48,0.5,0.83,0.4,0.29,1.0
0.63,0.69,0.48,0.5,0.65,0.41,0.28,1.0
0.67,0.88,0.48,0.5,0.73,0.5,0.25,1.0
0.61,0.75,0.48,0.5,0.51,0.33,0.33,1.0
0.67,0.84,0.48,0.5,0.74,0.54,0.37,1.0
0.74,0.9,0.48,0.5,0.57,0.53,0.29,1.0
0.73,0.84,0.48,0.5,0.86,0.58,0.29,1.0
0.75,0.76,0.48,0.5,0.83,0.57,0.3,1.0
0.77,0.57,0.48,0.5,0.88,0.53,0.2,1.0
0.74,0.78,0.48,0.5,0.75,0.54,0.15,1.0
0.68,0.76,0.48,0.5,0.84,0.45,0.27,1.0
