1,2,3,4,5,6,7,8,9,10,11,12,13,14
13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,0
13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,0
13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,0
13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,0
13.74095718,4.025896606,2.599203551,23.38844909,102.2987885,1.812869139,0.993425691,0.478486266,1.272191436,9.274103394,0.595179321,1.499960418,556.2948303,0
13.39799105,3.107351494,2.551452239,24.22272388,97.10910448,1.550902986,0.943002238,0.399179851,1.061632836,7.259067168,0.637727612,1.466907463,560,0
13.69323767,2.823465035,2.304820129,21.95983226,91.2853678,1.378117421,0.721774453,0.390719483,1.014736257,9.212063469,0.706426839,1.64866916,613.7949677,0
13.49907173,2.572642885,2.564929042,22.84464908,99.11430785,1.494821636,0.714929042,0.382642885,1.208929817,7.534361376,0.72528577,2.046463359,761.0356728,0
13.61211006,3.426964829,2.495505862,21.37306803,97.42880613,1.924871202,0.970480102,0.411320839,1.56,8.413740011,0.58248712,1.543224819,462.8302097,0
13.52356484,3.190200788,2.712191292,23.48302455,96.84722093,1.545416628,0.519151227,0.500339509,0.560185271,4.388534275,0.8881327,2.05473761,520,0
13.31431845,4.271289881,2.450238599,22.87999054,97.22395457,1.673120719,0.703919205,0.532560833,1.546480038,8.167517123,0.64927947,1.592638788,733.7999054,0
13.51637669,3.160941727,2.701883455,23.59058273,101.7103017,1.522825182,0.710223724,0.449273674,0.676815816,5.119953169,0.835650365,1.922314257,516.376691,0
13.61388242,2.769771622,2.378172977,21.80456756,91.17259465,1.387132164,0.64482216,0.433451893,0.975278916,8.606746437,0.713680271,1.803122439,612.0685134,0
13.30816738,3.276023739,2.38262947,21.5,91.8422318,1.923952219,0.757107583,0.450525894,1.239745067,8.399753081,0.549737053,1.626310728,649.3426325,0
13.24564433,3.326098914,2.639585408,22.90871623,94.87137844,1.72738513,0.614605402,0.5,0.665891618,5.13049457,0.811950543,1.946473517,520,0
12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,0
12.61967173,1.298501086,2.131170649,19.71663047,105.6920106,1.484250543,0.674928794,0.484660875,1.334825007,7.104103317,0.605503258,1.513161961,638.5831523,0
12.54846937,1.26747812,2.167565639,18.87390602,94.89212337,1.714227547,0.58,0.561530631,1.332434361,6.63155918,0.65657439,1.531982496,644.5043759,0
12.66023748,1.307779895,2.127353685,20.22794738,102.7720526,1.540178108,0.613280317,0.53,1.459266318,7.846183167,0.579544105,1.568691685,640.9117895,0
12.73564106,1.323351655,2.222289401,18.88827818,113.5613573,1.496675827,0.952426811,0.352124508,1.14430398,5.654486808,0.680054964,1.405476163,634.4413909,0
13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550,0
13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,0
13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,0
13.78739789,4.671003522,2.478010149,21.47704018,93.3129246,2.016411558,0.786870754,0.499540804,1.12831628,5.975509522,0.811530655,1.902295982,553.2823115,0
13.55019391,4.814265932,2.351292705,20.19390581,94.71468136,1.923730381,0.876269619,0.45319483,1.035512465,5.046352705,0.866048016,1.95692521,550,0
12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,0
12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,0
13.16,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,0
12.45,3.03,2.64,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,0
12.91056142,2.63775575,2.393792505,23.50340038,97.25510057,1.25552742,1.053996527,0.294829981,0.853588482,5.538605123,0.691037476,1.445663435,558.7585009,0
12.49150328,3.008564241,2.62677368,26.68074401,96.63513601,1.877196001,0.57635136,0.61814192,1.117196001,7.413344802,0.67136824,1.763749919,875.4392001,0
12.84012227,2.963790409,2.609633186,23.97554575,101.0611356,2.311807825,0.6,0.530855899,0.811834069,4.928069903,0.889755457,2.149510915,589.7554575,0
13.03937373,3.928435565,2.366875588,21.96876084,113.5312144,1.67718798,0.65906233,0.48625031,1.290937175,9.440620821,0.612500124,1.607812763,847.6563197,0
12.84108743,2.993710451,2.606737698,23.78251322,101.543717,2.247141928,0.6,0.537612037,0.826311509,4.991770638,0.887825132,2.145650264,587.8251322,0
12.81548524,2.806647911,2.502943036,23.44667131,108.6752229,1.773095404,0.630761838,0.579238162,1.302437883,8.413713093,0.634466713,1.674161978,859.6952646,0
12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,0
12.44431122,4.819267686,2.493534274,21.21120784,89.84483137,1.456034824,0.503793255,0.546896627,0.958405883,4.705391766,0.718318823,1.314353647,721.0560392,0
12.31112497,4.621648552,2.546893793,21.16085517,89.73533793,1.387812965,0.48700469,0.523565793,0.834009379,4.071060965,0.749540414,1.294358069,721.3787586,0
12.43010371,3.557044605,2.365042109,19.71354492,91.57291017,1.503499688,0.567770586,0.581458203,0.872041485,5.522391608,0.739708359,1.42952043,707.1354492,0
12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2,855,0
12.45062984,3.958678368,2.211801755,18.79504388,113.5735674,1.421306143,0.762297367,0.317537429,1.181306143,8.601424882,0.638198245,1.913453795,851.0660816,0
12.27622212,3.871067188,2.198559224,18.5720388,111.7118448,1.383457863,0.77337243,0.294034173,1.144610483,8.088686655,0.648559224,1.990779033,854.279612,0
