1,2,3,4,5,6,7,8
0.52,0.435,0.195,0.973,0.2985,0.2135,0.355,0
0.547297468,0.44318924,0.184081013,0.963445886,0.342994873,0.18784038,0.322243038,0
0.538099026,0.443044012,0.184944986,0.946253662,0.315995725,0.190373467,0.34092298,0
0.537490436,0.440247131,0.188003826,0.966878347,0.32700941,0.19705899,0.334011477,0
0.540004618,0.443890941,0.183886324,0.943437621,0.317837797,0.187938544,0.339440853,0
0.537840126,0.413591848,0.180727899,0.977995235,0.269955798,0.208861567,0.372840126,0
0.5248249,0.42921012,0.19114008,0.974350972,0.29078016,0.212245526,0.3598249,0
0.544092128,0.442227638,0.185363149,0.964567755,0.337770169,0.1908534,0.326089446,0
0.523221798,0.431133842,0.192422561,0.973902103,0.293345123,0.212662332,0.358221798,0
0.535034388,0.439100288,0.188166187,0.993364763,0.320094849,0.201745842,0.363200576,0
0.522987997,0.435896399,0.193804801,0.971954201,0.303370435,0.210691283,0.351414404,0
0.541450366,0.44143511,0.186419853,0.965492372,0.333464097,0.193336656,0.32925956,0
0.537043768,0.414547478,0.181364985,0.977772255,0.271229971,0.20906862,0.372043768,0
0.524988099,0.430011901,0.185023802,0.953047604,0.29949762,0.210008331,0.346021422,0
0.522448495,0.437448495,0.19391178,0.972129424,0.303396991,0.213581617,0.350647119,0
0.554198228,0.446690945,0.148338189,0.796071378,0.34838189,0.153183661,0.258338189,0
0.548194775,0.442072904,0.147414581,0.782494338,0.339145808,0.149951033,0.257414581,0
0.57,0.475,0.195,1.0295,0.4635,0.1905,0.305,0
0.588565244,0.479641311,0.181076067,1.058276128,0.431010823,0.215098948,0.316603278,0
0.580226715,0.477556679,0.187329964,1.045351408,0.445603249,0.204050398,0.311391697,0
0.588414843,0.475,0.185792578,1.110832225,0.492656836,0.237764765,0.314207422,0
0.585897532,0.475,0.187051234,1.099714099,0.488671092,0.231303665,0.312948766,0
0.581978486,0.477994622,0.186016135,1.048066654,0.442537649,0.206371494,0.312486554,0
0.569757568,0.475242432,0.194030274,1.025984742,0.459863526,0.191687915,0.303545411,0
0.585043145,0.478760786,0.183717641,1.052816874,0.437174497,0.210432167,0.314401966,0
0.579077007,0.475,0.190461497,1.069590114,0.477871928,0.213797651,0.309538503,0
0.57,0.473723059,0.193978447,1.025720255,0.459235017,0.189274137,0.304489224,0
0.57328832,0.47582208,0.19253376,1.034596896,0.45774544,0.194857024,0.3070552,0
0.572618985,0.475654746,0.193035761,1.033559427,0.458916777,0.193970155,0.306636866,0
0.569779858,0.475220142,0.19411943,1.026307934,0.460197863,0.191578698,0.303679145,0
0.525,0.425,0.12,0.8665,0.2825,0.176,0.29,0
0.545,0.41,0.145,0.873,0.3035,0.196,0.31,0
0.545,0.409146069,0.150123584,0.891274116,0.295814624,0.197878647,0.321955029,0
0.530107196,0.421169603,0.126383994,0.868159839,0.287862555,0.181107196,0.295107196,0
0.525,0.418159005,0.145083649,0.869920498,0.317161042,0.190138057,0.251234361,0
0.525447036,0.424664723,0.120558795,0.866645287,0.282969387,0.176447036,0.290447036,0
