1,2,3,4,5,6,7,8
0.23,0.48,0.48,0.5,0.59,0.88,0.89,0
0.34,0.49,0.48,0.5,0.58,0.85,0.8,0
0.43,0.4,0.48,0.5,0.58,0.75,0.78,0
0.4,0.5,0.48,0.5,0.65,0.82,0.84,0
0.48,0.45,0.48,0.5,0.6,0.78,0.8,0
0.31,0.5,0.48,0.5,0.57,0.84,0.85,0
0.33,0.45,0.48,0.5,0.45,0.88,0.89,0
0.41,0.51,0.48,0.5,0.53,0.75,0.78,0
0.35,0.51,0.48,0.5,0.61,0.71,0.74,0
0.31,0.44,0.48,0.5,0.5,0.79,0.82,0
0.366674213,0.494445702,0.48,0.5,0.611119915,0.836662894,0.817782808,0
0.381769716,0.496961619,0.48,0.5,0.628731335,0.829115142,0.827846477,0
0.36208939,0.51,0.48,0.5,0.593880814,0.718059593,0.748059593,0
0.400833916,0.46416958,0.48,0.5,0.525416958,0.736250874,0.766250874,0
0.491524559,0.475930259,0.48,0.5,0.60576228,0.77423772,0.79711886,0
0.31,0.448969841,0.48,0.5,0.510464814,0.797474867,0.82448492,0
0.21509836,0.470065573,0.48,0.5,0.580065573,0.830327866,0.850262293,0
0.215203793,0.470135862,0.48,0.5,0.580135862,0.83067931,0.850543448,0
0.31,0.488050146,0.48,0.5,0.570853561,0.84853561,0.857682049,0
0.349515528,0.517751552,0.48,0.5,0.605639752,0.71242236,0.74242236,0
0.404208706,0.523237243,0.48,0.5,0.529172672,0.750827328,0.780827328,0
0.34,0.500577985,0.48,0.5,0.627600932,0.876444962,0.852889924,0
0.402899551,0.502899551,0.48,0.5,0.505148429,0.751775112,0.781775112,0
0.33,0.477903367,0.48,0.5,0.419559963,0.854633302,0.867169972,0
0.289586146,0.496250767,0.48,0.5,0.633335379,0.890833845,0.895416922,0
0.435686499,0.405686499,0.48,0.5,0.5822746,0.7534119,0.7822746,0
0.392527186,0.5,0.48,0.5,0.643357498,0.821660625,0.840830313,0
0.48,0.460129828,0.48,0.5,0.579740344,0.777467543,0.777207887,0
0.471173989,0.435289981,0.48,0.5,0.602942004,0.768231985,0.791173989,0
0.220166302,0.473444202,0.48,0.5,0.583444202,0.847221008,0.863776806,0
0.286695631,0.444237158,0.48,0.5,0.514830053,0.787881421,0.817881421,0
0.485620823,0.451605949,0.48,0.5,0.597591076,0.78,0.8,0
0.468102413,0.438102413,0.48,0.5,0.595240965,0.772861448,0.795240965,0
0.338092201,0.486820336,0.48,0.5,0.574912537,0.846184403,0.801271866,0
0.408572663,0.510892086,0.48,0.5,0.526431657,0.750535251,0.780356834,0
0.34,0.503804561,0.48,0.5,0.642120527,0.884511404,0.869022807,0
0.320727522,0.503575841,0.48,0.5,0.605758405,0.861455043,0.867879203,0
0.267442198,0.423836703,0.48,0.5,0.585319725,0.908081649,0.913401374,0
0.471267151,0.455458031,0.48,0.5,0.605458031,0.784366425,0.804366425,0
0.343186887,0.61900981,0.48,0.5,0.548681982,0.744065566,0.774065566,0
0.66,0.53,0.48,0.5,0.59,0.66,0.66,0
0.6,0.61,0.48,0.5,0.54,0.67,0.71,0
0.58,0.55,0.48,0.5,0.57,0.7,0.74,0
0.614316965,0.590910713,0.48,0.5,0.551930804,0.667613839,0.698069196,0
0.681346274,0.505096014,0.48,0.5,0.561538302,0.66,0.674230849,0
0.603105797,0.582047829,0.48,0.5,0.54,0.67,0.650989862,0
0.659188759,0.529837752,0.48,0.5,0.589188759,0.660162248,0.657728526,0
0.649927719,0.543429709,0.48,0.5,0.581606432,0.661678714,0.668393568,0
0.655782069,0.531054483,0.48,0.5,0.588945517,0.662108965,0.664217931,0
0.659019228,0.533923087,0.48,0.5,0.592288467,0.660326924,0.661634619,0
0.587391744,0.564783487,0.48,0.5,0.583305139,0.695564954,0.735564954,0
0.580814106,0.552442318,0.48,0.5,0.568778841,0.698778841,0.738778841,0
0.63999632,0.525999264,0.48,0.5,0.56999632,0.664000736,0.603989696,0
0.622332848,0.593250364,0.48,0.5,0.506500728,0.731415333,0.721166424,0
0.73,0.36,0.48,0.5,0.53,0.91,0.92,0
0.74,0.44,0.48,0.5,0.55,0.88,0.89,0
0.7,0.4,0.48,0.5,0.56,0.86,0.83,0
0.685168327,0.421188104,0.48,0.5,0.566356431,0.85788119,0.836356431,0
0.732445463,0.379563706,0.48,0.5,0.534890927,0.90266361,0.91266361,0
0.699729353,0.399729353,0.48,0.5,0.560270647,0.857293532,0.828917413,0
0.63,0.5,0.48,0.5,0.59,0.85,0.86,0
0.63,0.54,0.48,0.5,0.65,0.79,0.81,0
0.59,0.56,0.48,0.5,0.55,0.8,0.82,0
0.68,0.51,0.48,0.5,0.71,0.75,0.78,0
0.594688712,0.583443558,0.48,0.5,0.528900798,0.81641049,0.834066135,0
0.565900343,0.54,0.48,0.5,0.632518275,0.772518275,0.798345517,0
0.571869769,0.563626046,0.48,0.5,0.553626046,0.803626046,0.823626046,0
0.627153803,0.504269296,0.48,0.5,0.587153803,0.846442253,0.857153803,0
0.63,0.496191124,0.48,0.5,0.579842998,0.846191124,0.857460749,0
0.590053812,0.560269058,0.48,0.5,0.549757848,0.800188341,0.820161435,0
0.547885158,0.563867099,0.48,0.5,0.562628386,0.813504515,0.832628386,0
0.607422627,0.53386606,0.48,0.5,0.567422627,0.821778283,0.837422627,0
0.594583117,0.549687987,0.48,0.5,0.545416883,0.802291559,0.822291559,0
0.63,0.522152978,0.48,0.5,0.623229466,0.816770534,0.832308778,0
0.558350441,0.563883186,0.48,0.5,0.578350441,0.805922124,0.825922124,0
0.623715082,0.509427377,0.48,0.5,0.583715082,0.842143852,0.853715082,0
0.573086474,0.566505202,0.48,0.5,0.540892717,0.807806243,0.826505202,0
0.634139728,0.494086102,0.48,0.5,0.588225831,0.85059139,0.858225831,0
0.589308469,0.559308469,0.48,0.5,0.551383062,0.793084688,0.814467751,0
0.643422115,0.492678847,0.48,0.5,0.585119231,0.853660577,0.863660577,0
0.34,0.67,0.48,0.5,0.52,0.76,0.79,0
0.346464505,0.666021843,0.48,0.5,0.52,0.76,0.79,0
0.58,0.34,0.48,0.5,0.56,0.87,0.81,0
0.579666615,0.341444667,0.48,0.5,0.560111128,0.868999846,0.809888872,0
0.47,0.55,0.48,0.5,0.58,0.71,0.75,0
0.493915384,0.55,0.48,0.5,0.577825874,0.707825874,0.747825874,0
0.47696137,0.554640914,0.48,0.5,0.610165938,0.686795432,0.729115889,0
0.459254184,0.546418061,0.48,0.5,0.582686454,0.71,0.749104515,0
0.221313715,0.51,0.48,0.5,0.369415959,0.486350123,0.418686285,0
0.180986075,0.51,0.48,0.5,0.343491048,0.422978118,0.459013925,0
0.237208697,0.51,0.48,0.5,0.379634163,0.511327953,0.402791303,0
0.31,0.36,0.48,0.5,0.58,0.94,0.94,0
0.275880689,0.411178966,0.48,0.5,0.584264914,0.914410517,0.918675431,0
0.322289306,0.421446531,0.48,0.5,0.616867918,0.923614258,0.923614258,0
0.313147739,0.374164824,0.48,0.5,0.559539699,0.930556784,0.932130653,0
0.283752972,0.399370542,0.48,0.5,0.583280879,0.920314729,0.923595607,0
0.324033483,0.430167414,0.48,0.5,0.622100449,0.921288689,0.921288689,0
0.63,0.47,0.48,0.5,0.51,0.82,0.84,0
0.640589893,0.476618683,0.48,0.5,0.527208576,0.84382726,0.85985605,0
0.627206342,0.476285731,0.48,0.5,0.512793658,0.818603171,0.838603171,0
0.636267941,0.473917463,0.48,0.5,0.520185404,0.834102867,0.851752389,0
0.63448676,0.519354359,0.48,0.5,0.49653972,0.80205296,0.790645641,0
0.34,0.51,0.48,0.5,0.67,0.9,0.9,0
0.34,0.509824824,0.48,0.5,0.66921171,0.899562061,0.899124122,0
