 47,100, 27, 81, 57, 37, 26,  0,  0, 23, 56, 53,100, 90, 40, 98, 8
  0, 89, 27,100, 42, 75, 29, 45, 15, 15, 37,  0, 69,  2,100,  6, 2
  0, 57, 31, 68, 72, 90,100,100, 76, 75, 50, 51, 28, 25, 16,  0, 1
  0,100,  7, 92,  5, 68, 19, 45, 86, 34,100, 45, 74, 23, 67,  0, 4
  0, 67, 49, 83,100,100, 81, 80, 60, 60, 40, 40, 33, 20, 47,  0, 1
100,100, 88, 99, 49, 74, 17, 47,  0, 16, 37,  0, 73, 16, 20, 20, 6
  0,100,  3, 72, 26, 35, 85, 35,100, 71, 73, 97, 65, 49, 66,  0, 4
  0, 39,  2, 62, 11,  5, 63,  0,100, 43, 89, 99, 36,100,  0, 57, 0
 13, 89, 12, 50, 72, 38, 56,  0,  4, 17,  0, 61, 32, 94,100,100, 5
 57,100, 22, 72,  0, 31, 25,  0, 75, 13,100, 50, 75, 87, 26, 85, 0
 74, 87, 31,100,  0, 69, 62, 64,100, 79,100, 38, 84,  0, 18,  1, 9
 48, 96, 62, 65, 88, 27, 21,  0, 21, 33, 79, 67,100,100,  0, 85, 8
100,100, 72, 99, 36, 78, 34, 54, 79, 47, 64, 13, 19,  0,  0,  2, 5
 91, 74, 54,100,  0, 87, 23, 59, 81, 67,100, 39, 79,  4, 21,  0, 9
  0, 85, 38,100, 81, 88, 87, 50, 84, 12, 58,  0, 53, 22,100, 24, 7
 35, 76, 57,100,100, 92, 68, 66, 81, 38, 82,  9, 32,  0,  0, 17, 3
 50, 84, 66,100, 75, 75, 51, 51,100, 42, 97, 13, 49,  0,  0,  7, 3
 99, 80, 63,100, 25, 76, 79, 68,100, 62, 97, 23, 54,  0,  0, 16, 9
 24, 66, 43,100, 59, 65, 34, 28,  0,  1, 16, 11, 58,  0,100,  1, 2
  0, 73, 19, 99, 72,100, 70, 73, 32, 48,  5, 18, 46,  0,100,  0, 2
 12, 77, 20, 62, 78, 40, 50,  0,  1, 17,  0, 64, 23, 98,100,100, 5
  0, 46, 49, 64, 78, 87,100,100, 91, 75, 85, 49, 75, 24, 89,  0, 1
 10, 86, 34, 66, 68, 34, 34,  0,  4, 26,  0, 69, 34, 95,100,100, 5
 73, 62, 53,100,  0, 72, 82, 39,100,  0, 15, 14, 52, 57, 90, 94, 8
 54,100, 34, 75,  6, 43,  0, 11, 70,  0,100, 28, 44, 46, 36, 21, 6
 11,100,  0, 69, 15, 43, 87, 47,100, 65, 74, 67, 71, 33, 66,  0, 4
 36, 92,  7, 83,  0, 37, 26,  0, 77,  6,100, 46, 84, 89, 36,100, 0
 46,100, 10, 83, 34, 64,100, 77, 71, 82, 49, 54, 22, 27,  0,  0, 4
 61, 59, 58,100,  0, 84, 44, 42, 80,  0,  8,  5, 33, 44,100, 70, 8
100, 84, 31,100,  0, 88,  8, 70, 15, 53, 15, 35,  0, 17,  0,  0, 1
 32, 59, 53,100,100, 95, 79, 46, 48,  0, 93, 19, 58, 55,  0, 63, 8
 40, 99, 51, 66, 79, 26, 39,  0,  0, 27,  8, 77, 46,100,100, 94, 5
  0, 98, 36,100, 80, 85, 68, 42, 56,  0, 25, 23, 50, 37,100, 32, 7
 27, 76,  1, 42, 16,  0, 70,  3,100, 40, 92, 84, 44,100,  0, 73, 0
  0,  0, 31, 15, 63, 30, 88, 52,100, 79, 82,100, 56, 82, 79, 64, 9
 30, 86, 67,100, 77, 77, 53, 50, 78, 40,100, 17, 56,  0,  0,  5, 3
 29, 91, 14, 57, 66, 39, 30,  0,  0, 19,  3, 72, 39, 97,100,100, 5
 77, 97, 40,100,  0, 59,  9, 29, 84, 33,100, 64, 77, 44, 48,  0, 4
 64, 93,  0, 67, 97, 67, 89,100, 14, 70,100, 68, 96, 36, 28,  0, 9
  9, 93, 53,100, 89, 80, 57, 52, 17, 30,  0,  5, 50,  2,100,  0, 2
  0, 93, 62,100,100, 78, 69, 43, 50,  5, 35,  0, 15, 35, 86, 37, 7
 30, 87, 16, 55, 68, 41, 52,  0,  0, 16, 15, 63, 41,100,100, 98, 5
 60,100, 20, 76,  0, 39, 10,  1, 69,  0,100, 33, 56, 40, 15, 10, 6
  0, 83, 29,100, 88, 95, 64, 69, 73, 43,100, 13, 50,  1, 10,  0, 3
  5, 90, 46, 98, 89,100,100, 81, 77, 59, 62, 34, 37, 14,  0,  0, 3
100, 99, 67,100, 24, 68,  0, 32, 27,  0, 99,  8, 77, 40,  9, 55, 6
 47, 86, 73,100, 89, 75, 68, 49,100, 28, 82,  4, 38,  0,  0, 13, 3
 29, 72, 45,100, 78, 78, 60, 41, 25, 12,  0,  4, 50,  6,100,  0, 2
  1, 88,  0, 54, 59, 31, 36,  0, 11, 28,  4, 68, 28, 97,100,100, 5
 63,100, 40, 73, 70, 63,100, 77, 79, 74, 55, 48, 29, 23,  0,  0, 4
 11, 92, 56,100, 83, 82, 52, 59, 87, 39,100, 14, 55,  0,  0,  0, 3
 51, 76, 68, 91,100,100, 83, 80, 59, 60, 34, 40, 10, 20,  0,  0, 1
 56, 99, 18, 72,  0, 24, 36,  0, 85, 23,100, 69, 58,100, 19, 74, 0
  0, 75, 47, 87,100,100, 91, 80, 72, 60, 53, 40, 35, 20, 19,  0, 1
 17,100,  0, 74,  6, 36, 77, 37,100, 63, 73, 95, 71, 47, 75,  0, 4
 41, 96, 17, 76, 50, 37, 31,  0,  0, 34,  1, 86, 49, 98,100,100, 5
 20, 82, 62,100,100, 81, 68, 54, 82, 50, 89, 19, 42,  0,  0, 13, 3
 12, 78, 40,100, 74, 77, 52, 41, 13, 14,  0, 17, 50,  8,100,  0, 2
 18, 73,  0, 73, 10, 24, 54,  0,100, 22, 95, 71, 52,100,  5, 84, 0
 97,100, 41, 90,  4, 58,  0, 22, 52,  0,100, 22, 49, 38,  8, 13, 6
 57, 63,100,100,  0, 91, 36, 53, 95, 16,  2,  0,  5, 36, 91, 67, 8
 30, 81, 87,100,100, 98, 37, 86, 46, 54, 99, 32, 59,  2,  0,  0, 5
 12, 61,  0, 20, 44,  0, 92, 23,100, 64, 70,100, 15, 92,  0, 52, 0
  0, 84, 50,100, 72, 79, 37, 52, 51, 41,100, 27, 62,  3,  3,  0, 3
  0,100, 61,100,100, 93, 63, 64, 36, 33, 14,  0,  9, 29, 47, 42, 7
100, 79, 67,100, 26, 76, 41, 38, 47,  0,  0,  8, 38, 38, 96, 58, 8
 37, 91, 84,100,100, 96, 52, 87, 32, 57, 74, 38, 41,  1,  0,  0, 5
100,100, 58, 83, 31, 55, 17, 24, 43,  0, 80, 19, 50, 43,  0, 39, 6
 94, 79, 40,100, 13, 65, 59, 30, 67,  0,  0, 17, 45, 52,100, 83, 8
